"","asv_code","pct_id","pr2_label"
"1","b2e8927686",100,"FN562453.1.1759_U|18S_rRNA|nucleus|strain_SCCAP_K-0417|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Bathycoccaceae|Bathycoccus|Bathycoccus_prasinos"
"2","b2e8927686",100,"JF794058.1.1595_U|18S_rRNA|nucleus|strain_MALINA_S664|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Bathycoccaceae|Bathycoccus|Bathycoccus_prasinos"
"3","b2e8927686",100,"KT860594.1.1721_U|18S_rRNA|nucleus|strain_RCC455|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Bathycoccaceae|Bathycoccus|Bathycoccus_prasinos"
"4","b2e8927686",100,"KT860664.1.507_U|18S_rRNA|nucleus|strain_RCC634|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Bathycoccaceae|Bathycoccus|Bathycoccus_prasinos"
"5","b2e8927686",100,"KT878681.1.505_U|18S_rRNA|nucleus|strain_RCC640|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Bathycoccaceae|Bathycoccus|Bathycoccus_prasinos"
"6","b2e8927686",100,"KT860597.1.1721_U|18S_rRNA|nucleus|strain_RCC680|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Bathycoccaceae|Bathycoccus|Bathycoccus_prasinos"
"7","b2e8927686",100,"KT860600.1.1721_U|18S_rRNA|nucleus|strain_RCC686|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Bathycoccaceae|Bathycoccus|Bathycoccus_prasinos"
"8","b2e8927686",100,"KT860697.1.834_U|18S_rRNA|nucleus|strain_RCC1608|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Bathycoccaceae|Bathycoccus|Bathycoccus_prasinos"
"9","b2e8927686",100,"KT860698.1.779_U|18S_rRNA|nucleus|strain_RCC1609|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Bathycoccaceae|Bathycoccus|Bathycoccus_prasinos"
"10","b2e8927686",100,"KT860699.1.617_U|18S_rRNA|nucleus|strain_RCC1610|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Bathycoccaceae|Bathycoccus|Bathycoccus_prasinos"
"11","b2e8927686",100,"KT860700.1.841_U|18S_rRNA|nucleus|strain_RCC1611|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Bathycoccaceae|Bathycoccus|Bathycoccus_prasinos"
"12","b2e8927686",100,"KT860702.1.807_U|18S_rRNA|nucleus|strain_RCC1613|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Bathycoccaceae|Bathycoccus|Bathycoccus_prasinos"
"13","b2e8927686",100,"KT860703.1.839_U|18S_rRNA|nucleus|strain_RCC1615|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Bathycoccaceae|Bathycoccus|Bathycoccus_prasinos"
"14","b2e8927686",100,"KT860714.1.630_U|18S_rRNA|nucleus|strain_RCC1664|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Bathycoccaceae|Bathycoccus|Bathycoccus_prasinos"
"15","b2e8927686",100,"KT860776.1.849_U|18S_rRNA|nucleus|strain_RCC1872|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Bathycoccaceae|Bathycoccus|Bathycoccus_prasinos"
"16","b2e8927686",100,"FO082268.119769.121976_U|18S_rRNA|nucleus|strain_RCC_1105|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Bathycoccaceae|Bathycoccus|Bathycoccus_prasinos"
"17","5edb2422c7",100,"AY955010.1.1727_U|18S_rRNA|nucleus|strain_CS222|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Mamiellaceae|Micromonas|Micromonas_commoda_A2"
"18","5edb2422c7",100,"AY955012.1.1727_U|18S_rRNA|nucleus|strain_NEPCC29|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Mamiellaceae|Micromonas|Micromonas_commoda_A2"
"19","5edb2422c7",100,"AY954993.1.1727_U|18S_rRNA|nucleus|strain_CCMP1195|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Mamiellaceae|Micromonas|Micromonas_commoda_A2"
"20","5edb2422c7",100,"KU244634.1.1703_U|18S_rRNA|nucleus|strain_RCC372|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Mamiellaceae|Micromonas|Micromonas_commoda"
"21","5edb2422c7",100,"KU244638.1.1703_U|18S_rRNA|nucleus|strain_RCC447|Eukaryota|Archaeplastida|Chlorophyta|Mamiellophyceae|Mamiellales|Mamiellaceae|Micromonas|Micromonas_commoda"
